Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Applied Linear Algebra,"Peter J. Olver, Chehrzad Shakiban",2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-91040-6,978-3-319-91041-3,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-91041-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91041-3,"Mathematics; Linear and Multilinear Algebras, Matrix Theory; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Proofs from THE BOOK,"Martin Aigner, Günter M. Ziegler",6th ed. 2018,Undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-57264-1,978-3-662-57265-8,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-662-57265-8,http://link.springer.com/openurl?genre=book&isbn=978-3-662-57265-8,Mathematics; Number Theory; Geometry; Analysis; Combinatorics; Graph Theory; Mathematics of Computing,Springer Berlin Heidelberg,Springer
A Pythagorean Introduction to Number Theory,Ramin Takloo-Bighash,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-02603-5,978-3-030-02604-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-030-02604-2,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02604-2,Mathematics; Number Theory,Springer International Publishing,Springer
Database Marketing,"Robert C. Blattberg, Byung-Do Kim, Scott A. Neslin",2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-72578-9,978-0-387-72579-6,EN,English/International,11643,Business and Economics,,0923-6716,2199-1057,International Series in Quantitative Marketing,18,http://doi.org/10.1007/978-0-387-72579-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6,Business and Management; Market Research/Competitive Intelligence; Marketing; Management; Innovation/Technology Management,Springer New York,Springer
Microeconomics,Peter Dorman,2014,Undergraduate textbook,2014,Springer-Verlag Berlin Heidelberg,978-3-642-37433-3,978-3-642-37434-0,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-37434-0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0,Economics; Microeconomics; International Political Economy,Springer Berlin Heidelberg,Springer
Design Research in Information Systems,"Alan Hevner, Samir Chatterjee",2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-5652-1,978-1-4419-5653-8,EN,English/International,11643,Business and Economics,,1571-0270,2197-7968,Integrated Series in Information Systems,22,http://doi.org/10.1007/978-1-4419-5653-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8,Business and Management; IT in Business; Management of Computing and Information Systems; Information Systems and Communication Service; Models and Principles; Information Systems Applications (incl.Internet); e-Commerce/e-business,Springer US,Springer
Strategic International Management,"Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes",2nd ed. 2010,German textbook,2010,"Gabler Verlag | Springer Fachmedien Wiesbaden GmbH, Wiesbaden",978-3-8349-2535-0,978-3-8349-6331-4,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-8349-6331-4,http://link.springer.com/openurl?genre=book&isbn=978-3-8349-6331-4,Business and Management; Business Strategy/Leadership; Management; Marketing,Gabler Verlag,Gabler Verlag
International Trade Theory and Policy,Giancarlo Gandolfo,2nd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Berlin · Heidelberg,978-3-642-37313-8,978-3-642-37314-5,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-37314-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37314-5,Economics; International Economics; European Integration; Political Economy/Economic Policy,Springer Berlin Heidelberg,Springer
Supply Chain Management and Advanced Planning,"Hartmut Stadtler, Christoph Kilger, Herbert Meyr",5th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-642-55308-0,978-3-642-55309-7,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-55309-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-55309-7,"Business and Management; Supply Chain Management; Operations Management; IT in Business; Engineering Economics, Organization, Logistics, Marketing",Springer Berlin Heidelberg,Springer
Strategic International Management,"Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes",3rd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Fachmedien Wiesbaden,978-3-658-07883-6,978-3-658-07884-3,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-658-07884-3,http://link.springer.com/openurl?genre=book&isbn=978-3-658-07884-3,"Business and Management; Business Strategy/Leadership; Business and Management, general; Management",Springer Fachmedien Wiesbaden,Springer Gabler
Search Methodologies,"Edmund K. Burke, Graham Kendall",2nd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-6939-1,978-1-4614-6940-7,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-1-4614-6940-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6940-7,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science",Springer US,Springer
Linear Programming,Robert J Vanderbei,4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7629-0,978-1-4614-7630-6,EN,English/International,11643,Business and Economics,,0884-8289,2214-7934,International Series in Operations Research & Management Science,196,http://doi.org/10.1007/978-1-4614-7630-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7630-6,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science; Optimization",Springer US,Springer
Corporate Social Responsibility,"John O. Okpara, Samuel O. Idowu",2013,Undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-40974-5,978-3-642-40975-2,EN,English/International,11643,Business and Economics,,2196-7075,2196-7083,"CSR, Sustainability, Ethics & Governance",,http://doi.org/10.1007/978-3-642-40975-2,http://link.springer.com/openurl?genre=book&isbn=978-3-642-40975-2,Business and Management; Business Ethics; Public Administration; Business Strategy/Leadership,Springer Berlin Heidelberg,Springer
Electronic Commerce,"Efraim Turban, David King, Jae Kyu Lee, Ting-Peng Liang, Deborrah C. Turban",8th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-10090-6,978-3-319-10091-3,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-10091-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-10091-3,Business and Management; IT in Business; Operations Research/Decision Theory,Springer International Publishing,Springer
Econometrics,Badi H. Baltagi,5th ed. 2011,Graduate/advanced undergraduate textbook,2011,Springer-Verlag Berlin Heidelberg,978-3-642-20058-8,978-3-642-20059-5,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-20059-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20059-5,"Economics; Econometrics; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Economic Theory/Quantitative Economics/Mathematical Methods; Game Theory, Economics, Social and Behav. Sciences",Springer Berlin Heidelberg,Springer
Logistics,"Harald Gleissner, J. Christian Femerling",2013,Graduate/advanced undergraduate textbook,2013,Springer International Publishing Switzerland,978-3-319-01768-6,978-3-319-01769-3,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-01769-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01769-3,"Business and Management; Operations Management; Engineering Economics, Organization, Logistics, Marketing; Organization",Springer International Publishing,Springer
New Introduction to Multiple Time Series Analysis,Helmut Lütkepohl,2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag Berlin Heidelberg,978-3-540-40172-8,978-3-540-27752-1,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-540-27752-1,http://link.springer.com/openurl?genre=book&isbn=978-3-540-27752-1,Economics; Econometrics; Statistics for Business/Economics/Mathematical Finance/Insurance; Mathematical and Computational Engineering,Springer Berlin Heidelberg,Springer
Game Theory,Hans Peters,2nd ed. 2015,Undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-46949-1,978-3-662-46950-7,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-46950-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46950-7,"Economics; Game Theory; Game Theory, Economics, Social and Behav. Sciences; Operations Research/Decision Theory; Microeconomics",Springer Berlin Heidelberg,Springer
Physical Asset Management,Nicholas Anthony John Hastings,2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-14776-5,978-3-319-14777-2,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-319-14777-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14777-2,"Economics; Industrial Organization; Quality Control, Reliability, Safety and Risk; Accounting/Auditing; Operations Management",Springer International Publishing,Springer
Linear and Nonlinear Programming,"David G. Luenberger, Yinyu Ye",4th ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-18841-6,978-3-319-18842-3,EN,English/International,41169,Business and Management,,0884-8289,2214-7934,International Series in Operations Research & Management Science,228,http://doi.org/10.1007/978-3-319-18842-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science; Mathematical Modeling and Industrial Mathematics; Engineering Economics, Organization, Logistics, Marketing",Springer International Publishing,Springer
Enterprise Risk Management Models,"David L. Olson, Desheng Dash Wu",2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag GmbH Germany,978-3-662-53784-8,978-3-662-53785-5,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-53785-5,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5,Business and Management; Operations Management; Risk Management,Springer Berlin Heidelberg,Springer
Introduction to Electronic Commerce and Social Commerce,"Efraim Turban, Judy Whiteside, David King, Jon Outland",4th ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-50090-4,978-3-319-50091-1,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-50091-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50091-1,Business and Management; e-Business/e-Commerce; Business Information Systems,Springer International Publishing,Springer
Business Process Management Cases,"Jan vom Brocke, Jan Mendling",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-58306-8,978-3-319-58307-5,EN,English/International,41169,Business and Management,,2192-8096,2192-810X,Management for Professionals,,http://doi.org/10.1007/978-3-319-58307-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58307-5,"Business and Management; Business Process Management; Information Systems Applications (incl.Internet); Business Information Systems; Organization; Organizational Studies, Economic Sociology",Springer International Publishing,Springer
Social Media Management,Amy Van Looy,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21989-9,978-3-319-21990-5,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-21990-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21990-5,Business and Management; Media Management; IT in Business; Marketing; e-Commerce/e-business; Human Resource Management,Springer International Publishing,Springer
Multinational Management,Rien Segers,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-23011-5,978-3-319-23012-2,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-23012-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23012-2,Business and Management; International Business,Springer International Publishing,Springer
Leadership Today,"Joan Marques, Satinder Dhiman",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-31034-3,978-3-319-31036-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-31036-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31036-7,Business and Management; Business Strategy/Leadership; Organization; Human Resource Development,Springer International Publishing,Springer
Sustainable Supply Chains,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, Tarkan Tan",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, and Tarkan Tan",978-3-319-29789-7,978-3-319-29791-0,EN,English/International,41169,Business and Management,,2365-6395,2365-6409,Springer Series in Supply Chain Management,4,http://doi.org/10.1007/978-3-319-29791-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29791-0,Business and Management; Operations Research/Decision Theory; Supply Chain Management; Procurement,Springer International Publishing,Springer
Strategic Retail Management,"Joachim Zentes, Dirk Morschett, Hanna Schramm-Klein",3rd ed. 2017,Undergraduate textbook,2017,Springer Fachmedien Wiesbaden GmbH,978-3-658-10182-4,978-3-658-10183-1,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-658-10183-1,http://link.springer.com/openurl?genre=book&isbn=978-3-658-10183-1,Business and Management; Trade; Sales/Distribution; Marketing,Springer Fachmedien Wiesbaden,Springer Gabler
"Travel Marketing, Tourism Economics and the Airline Product",Mark Anthony Camilleri,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-49848-5,978-3-319-49849-2,EN,English/International,41169,Business and Management,,2510-4993,2510-5000,"Tourism, Hospitality & Event Management",,http://doi.org/10.1007/978-3-319-49849-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49849-2,Business and Management; Tourism Management; Marketing; Media and Communication,Springer International Publishing,Springer
Electronic Commerce 2018,"Efraim Turban, Jon Outland, David King, Jae Kyu Lee, Ting-Peng Liang, Deborrah C. Turban",9th ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-58714-1,978-3-319-58715-8,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-58715-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58715-8,Business and Management; e-Business/e-Commerce; Business Information Systems; Operations Research/Decision Theory,Springer International Publishing,Springer
Market Research,"Erik Mooi, Marko Sarstedt, Irma Mooi-Reci",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-10-5217-0,978-981-10-5218-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-10-5218-7,http://link.springer.com/openurl?genre=book&isbn=978-981-10-5218-7,Business and Management; Market Research/Competitive Intelligence; Statistics for Business/Economics/Mathematical Finance/Insurance; Knowledge Management,Springer Singapore,Springer
Managing Sustainable Business,"Gilbert G. Lenssen, N. Craig Smith",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"Springer Science+Business Media B.V., part of Springer Nature",978-94-024-1142-3,978-94-024-1144-7,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-94-024-1144-7,http://link.springer.com/openurl?genre=book&isbn=978-94-024-1144-7,"Business and Management; Business Ethics; Administration, Organization and Leadership; Business Strategy/Leadership; Emerging Markets/Globalization",Springer Netherlands,Springer
Knowledge Management,"Klaus North, Gita Kumta",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-59977-9,978-3-319-59978-6,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-59978-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59978-6,Business and Management; Knowledge Management; Innovation/Technology Management; Organization; Industrial Organization,Springer International Publishing,Springer
Customer Relationship Management,"V. Kumar, Werner Reinartz",3rd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-55380-0,978-3-662-55381-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-55381-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-55381-7,Business and Management; Customer Relationship Management; Big Data/Analytics; Business Strategy/Leadership,Springer Berlin Heidelberg,Springer
Strategic Human Resource Management and Employment Relations,Ashish Malik,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-0398-2,978-981-13-0399-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-13-0399-9,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0399-9,Business and Management; Human Resource Management; Organization; Business Strategy/Leadership,Springer Singapore,Springer
Entertainment Science,"Thorsten Hennig-Thurau, Mark B. Houston",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"Springer International Publishing AG, part of Springer Nature",978-3-319-89290-0,978-3-319-89292-4,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-89292-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89292-4,Business and Management; Media Management; Market Research/Competitive Intelligence; Popular Science in Business and Management; Big Data/Analytics,Springer International Publishing,Springer
Analytical Corporate Finance,Angelo Corelli,2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-95761-6,978-3-319-95762-3,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-95762-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95762-3,Business and Management; Business Finance; Risk Management; Quantitative Finance; Financial Engineering; Financial Accounting,Springer International Publishing,Springer
A Concise Guide to Market Research,"Marko Sarstedt, Erik Mooi",3rd ed. 2019,Undergraduate textbook,2019,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-56706-7,978-3-662-56707-4,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-56707-4,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56707-4,Business and Management; Marketing; Management; Statistics for Business/Economics/Mathematical Finance/Insurance,Springer Berlin Heidelberg,Springer
Global Supply Chain and Operations Management,"Dmitry Ivanov, Alexander Tsipoulanidis, Jörn Schönberger",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-94312-1,978-3-319-94313-8,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-94313-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94313-8,Business and Management; Operations Management; Operations Research/Decision Theory,Springer International Publishing,Springer
International Business Management,"Kamal Fatehi, Jeongho Choi",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-96621-2,978-3-319-96622-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-96622-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96622-9,Business and Management; Cross-Cultural Management; Business Strategy/Leadership; Human Resource Management; Business Information Systems,Springer International Publishing,Springer
Excel Data Analysis,Hector Guerrero,2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-01278-6,978-3-030-01279-3,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-030-01279-3,http://link.springer.com/openurl?genre=book&isbn=978-3-030-01279-3,Business and Management; Operations Research/Decision Theory; Probability Theory and Stochastic Processes; Statistics for Business/Economics/Mathematical Finance/Insurance; Organization; Business Mathematics; IT in Business,Springer International Publishing,Springer
Digital Business Models,Bernd W. Wirtz,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13004-6,978-3-030-13005-3,EN,English/International,41169,Business and Management,,2196-8705,2196-8713,Progress in IS,,http://doi.org/10.1007/978-3-030-13005-3,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13005-3,Business and Management; e-Business/e-Commerce; e-Commerce/e-business; Organization; Innovation/Technology Management; Entrepreneurship,Springer International Publishing,Springer
Social Marketing in Action,"Debra Z. Basil, Gonzalo Diaz-Meneses, Michael D. Basil",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13019-0,978-3-030-13020-6,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-030-13020-6,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13020-6,Business and Management; Consumer Behavior; Market Research/Competitive Intelligence; Management Education,Springer International Publishing,Springer
Essentials of Business Analytics,"Bhimasankaram Pochiraju, Sridhar Seshadri",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-68836-7,978-3-319-68837-4,EN,English/International,41169,Business and Management,,0884-8289,2214-7934,International Series in Operations Research & Management Science,264,http://doi.org/10.1007/978-3-319-68837-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68837-4,Business and Management; Operations Research/Decision Theory; Statistics for Business/Economics/Mathematical Finance/Insurance; Big Data/Analytics,Springer International Publishing,Springer
Introduction to Evolutionary Computing,"A.E. Eiben, J.E. Smith",2nd ed. 2015,Undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-44873-1,978-3-662-44874-8,EN,English/International,11645,Computer Science,,1619-7127,,Natural Computing Series,,http://doi.org/10.1007/978-3-662-44874-8,http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8,Computer Science; Computational Intelligence; Theory of Computation; Robotics and Automation; Optimization,Springer Berlin Heidelberg,Springer
Data Structures and Algorithms with Python,"Kent D. Lee, Steve Hubbard",2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-13071-2,978-3-319-13072-9,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-13072-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9,Computer Science; Data Structures; Python; Algorithm Analysis and Problem Complexity; Programming Techniques,Springer International Publishing,Springer
LaTeX in 24 Hours,Dilip Datta,1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-47830-2,978-3-319-47831-9,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-47831-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9,Popular Science; Popular Computer Science; Programming Techniques,Springer International Publishing,Springer
Automata and Computability,Dexter C. Kozen,1997,Undergraduate textbook,1997,Springer Science+Business Media New York,978-0-387-94907-9,978-1-4612-1844-9,EN,English/International,11645,Computer Science,,,,Undergraduate Texts in Computer Science,,http://doi.org/10.1007/978-1-4612-1844-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9,Computer Science; Computation by Abstract Devices; Algorithm Analysis and Problem Complexity,Springer New York,Springer
The Algorithm Design Manual,Steven S Skiena,2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag London Limited,978-1-84800-069-8,978-1-84800-070-4,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-1-84800-070-4,http://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4,Computer Science; Software Engineering/Programming and Operating Systems; Programming Techniques; Algorithm Analysis and Problem Complexity; Theory of Computation; Algorithms; Discrete Mathematics in Computer Science,Springer London,Springer
Principles of Data Mining,Max Bramer,3rd ed. 2016,Undergraduate textbook,2016,Springer-Verlag London Ltd.,978-1-4471-7306-9,978-1-4471-7307-6,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-1-4471-7307-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6,Computer Science; Information Storage and Retrieval; Database Management; Programming Techniques,Springer London,Springer
Fundamentals of Business Process Management,"Marlon Dumas, Marcello La Rosa, Jan Mendling, Hajo A. Reijers",2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-33142-8,978-3-642-33143-5,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-642-33143-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5,Computer Science; Computer Appl. in Administrative Data Processing; Business Process Management; Information Systems Applications (incl.Internet); Software Engineering,Springer Berlin Heidelberg,Springer
UML @ Classroom,"Martina Seidl, Marion Scholz, Christian Huemer, Gerti Kappel",2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-12741-5,978-3-319-12742-2,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-12742-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12742-2,Computer Science; Software Engineering; Management of Computing and Information Systems,Springer International Publishing,Springer
Foundations for Designing User-Centered Systems,"Frank E. Ritter, Gordon D. Baxter, Elizabeth F. Churchill",2014,Undergraduate textbook,2014,Springer-Verlag London,978-1-4471-5133-3,978-1-4471-5134-0,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-1-4471-5134-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5134-0,Computer Science; User Interfaces and Human Computer Interaction; Software Engineering,Springer London,Springer
Computer Vision,Richard Szeliski,2011,Undergraduate textbook,2011,Springer-Verlag London Limited,978-1-84882-934-3,978-1-84882-935-0,EN,English/International,11645,Computer Science,,1868-0941,1868-095X,Texts in Computer Science,,http://doi.org/10.1007/978-1-84882-935-0,http://link.springer.com/openurl?genre=book&isbn=978-1-84882-935-0,Computer Science; Image Processing and Computer Vision,Springer London,Springer
Data Mining,Charu C. Aggarwal,2015,Graduate/advanced undergraduate textbook,2015,"Springer International Publishing AG, part of Springer Nature",978-3-319-14141-1,978-3-319-14142-8,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-14142-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14142-8,Computer Science; Data Mining and Knowledge Discovery; Pattern Recognition,Springer International Publishing,Springer
Computational Geometry,"Mark de Berg, Otfried Cheong, Marc van Kreveld, Mark Overmars",3rd ed. 2008,Graduate/advanced undergraduate textbook,2008,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-540-77973-5,978-3-540-77974-2,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-540-77974-2,http://link.springer.com/openurl?genre=book&isbn=978-3-540-77974-2,"Computer Science; Theory of Computation; Geometry; Math Applications in Computer Science; Earth Sciences, general; Computer Graphics; Algorithm Analysis and Problem Complexity",Springer Berlin Heidelberg,Springer
